count	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_species	verbatim_infra	verbatim_rank	verbatim_verbatimRank	verbatim_scientificName	verbatim_generic	verbatim_author	current_kingdom	current_phylum	current_class	current_order	current_family	current_genus	current_subGenus	current_species	current_scientificName	current_acceptedScientificName	current_kingdomKey	current_phylumKey	current_classKey	current_orderKey	current_familyKey	current_genusKey	current_subGenusKey	current_speciesKey	current_taxonKey	current_acceptedTaxonKey	proposed_kingdom	proposed_phylum	proposed_class	proposed_order	proposed_family	proposed_genus	proposed_subGenus	proposed_species	proposed_scientificName	proposed_acceptedScientificName	proposed_kingdomKey	proposed_phylumKey	proposed_classKey	proposed_orderKey	proposed_familyKey	proposed_genusKey	proposed_subGenusKey	proposed_speciesKey	proposed_taxonKey	proposed_acceptedTaxonKey
3496	Plantae	Charophyta	Equisetopsida	Malpighiales	Phyllanthaceae	Breynia	null	null	species	null	Breynia cernua	null	null	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Breynia	null	Breynia cernua	Breynia cernua (Poir.) Mull.Arg.	Breynia cernua (Poir.) Mull.Arg.	6	7707728	220	1414	8807	9489109	null	5383053	5383053	5383053	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Breynia	null	Breynia cernua	Breynia cernua Müll.Arg.	Breynia cernua Müll.Arg.	6	7707728	220	1414	8807	9489109	null	5383053	5383053	5383053
3111	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	null	null	null	null	null	Rubus fruticosus coll	null	null	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	null	Rubus fruticosus	Rubus fruticosus L.	Rubus fruticosus L.	6	7707728	220	691	5015	2988638	null	2989764	2989764	2989764	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	null	null	Rubus L.	Rubus L.	6	7707728	220	691	5015	2988638	null	null	2988638	2988638
1055	Plantae	Tracheophyta	Equisetopsida	Polypodiales	Dryopteridaceae	Polystichum	craspedosorum	null	null	null	Polystichum craspedosorum (Maxim.) Diels	null	(Maxim.) Diels	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum	null	Polystichum craspedosorum	Polystichum craspedosorum (Maxim) Diels	Polystichum craspedosorum (Maxim) Diels	6	7707728	7228684	392	2373	2651085	null	4039785	4039785	4039785	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Polystichum	null	Polystichum craspedosorum	Polystichum craspedosorum (Maxim.) Diels	Polystichum craspedosorum (Maxim.) Diels	6	7707728	7228684	392	2373	2651085	null	4039785	4039785	4039785
1229	Protoctista	null	null	null	Ceratiaceae	null	null	null	Esp	null	Ceratium fusus	null	null	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	null	Tripos fusus	Ceratium fusus (Ehrenberg) Dujardin, 1841	Tripos fusus (Ehrenb.) F.Gómez	4	8770992	9049014	8775728	7479242	7453566	null	7539507	8069969	7539507	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	null	Tripos fusus	Ceratium fusus (Ehrenb.) Dujard.	Tripos fusus (Ehrenb.) F.Gómez	4	8770992	9049014	8775728	7479242	7453566	null	7539507	8069969	7539507
2579	Plantae	null	null	null	Cistaceae	null	null	null	null	null	Helianthemum nummularium subsp. obscurum (Celak.) Holub	null	null	Plantae	Tracheophyta	Magnoliopsida	Malvales	Cistaceae	Helianthemum	null	Helianthemum salicifolium	Helianthemum nummularium subsp. obscurum (Celak.) J.Holub	Helianthemum salicifolium Mill.	6	7707728	220	941	6635	2874068	null	2874095	6711084	2874095	Plantae	Tracheophyta	Magnoliopsida	Malvales	Cistaceae	Helianthemum	null	Helianthemum nummularium	Helianthemum nummularium subsp. obscurum (Celak.) J.Holub	Helianthemum nummularium subsp. obscurum (Celak.) J.Holub	6	7707728	220	941	6635	2874068	null	8890062	6711084	6711084
3173	Animalia	Chordata	Aves	null	null	null	null	null	null	null	Larus ridibundus	null	null	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	null	Larus ridibundus	Larus ridibundus Linnaeus, 1766	Larus ridibundus Linnaeus, 1766	1	44	212	7192402	9316	2481126	null	2481137	2481137	2481137	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chroicocephalus	null	Chroicocephalus ridibundus	Larus ridibundus Linnaeus, 1766	Chroicocephalus ridibundus (Linnaeus, 1766)	1	44	212	7192402	9316	4848452	null	6065824	2481137	6065824
1068	Fungi	Ascomycota	Ascomycetes	Lecanorales	Parmeliaceae	Cetraria	islandica	null	null	null	Cetraria islandica	null	(L.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Cetraria	null	Cetraria islandica	Cetraria islandica (L.) Ach.	Cetraria islandica (L.) Ach.	5	95	180	1048	8305	2601309	null	2605272	2605272	2605272	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Cetraria	null	Cetraria islandica	Cetraria islandica Ach.	Cetraria islandica Ach.	5	95	180	1048	8305	2601309	null	2605272	2605272	2605272
3090	Plantae	null	null	null	null	null	null	null	null	null	Gnaphalium uliginosum L. subsp. uliginosum	null	null	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gnaphalium	null	Gnaphalium uliginosum	Gnaphalium uliginosum subsp. uliginosum	Gnaphalium uliginosum L.	6	7707728	220	414	3065	5390705	null	5390848	6291108	5390848	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gnaphalium	null	Gnaphalium uliginosum	Gnaphalium uliginosum subsp. uliginosum	Gnaphalium uliginosum L.	6	7707728	220	414	3065	7655428	null	5390848	6291108	5390848
8330	Plantae	null	null	null	Juncaceae	null	null	null	null	null	Luzula multiflora subsp. multiflora (Ehrh.) Lej.	null	null	Plantae	Tracheophyta	Liliopsida	Poales	Juncaceae	Luzula	null	Luzula multiflora	Luzula multiflora subsp. multiflora	Luzula multiflora subsp. multiflora	6	7707728	196	1369	5353	2700604	null	2700934	7258850	7258850	Plantae	Tracheophyta	Liliopsida	Poales	Juncaceae	Luzula	null	Luzula lutea	Luzula multiflora subsp. multiflora	Luzula lutea DC.	6	7707728	196	1369	5353	2700604	null	2700839	7258850	2700839
1059	null	Arthropoda	Insecta	Lepidoptera	Nymphalidae	null	null	null	null	null	Euphydryas aurinia debilis Oberthür, 1909	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euphydryas	null	Euphydryas aurinia	Euphydryas aurinia (Rottemburg, 1775)	Euphydryas aurinia (Rottemburg, 1775)	1	54	216	797	7017	1895130	null	4535809	4535809	4535809	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euphydryas	null	Eurodryas orientalis	Euphydryas aurinia debilis	Eurodryas orientalis Herrich-Schäffer, 1845-1847	1	54	216	797	7017	1895130	null	1907952	10618758	1907952
