Count	Verbatim_kingdom	Verbatim_phylum	Verbatim_class	Verbatim_order	Verbatim_family	Verbatim_genus	Verbatim_species	Verbatim_infra	Verbatim_rank	Verbatim_verbatimRank	Verbatim_scientificName	Verbatim_generic	Verbatim_author	Current_kingdom	Current_phylum	Current_klass	Current_order	Current_family	Current_genus	Current_subGenus	Current_species	Current_scientificName	Current_acceptedScientificName	Current_kingdomKey	Current_phylumKey	Current_classKey	Current_orderKey	Current_familyKey	Current_genusKey	Current_subGenusKey	Current_speciesKey	Current_taxonKey	Current_acceptedTaxonKey	Proposed_kingdom	Proposed_phylum	Proposed_klass	Proposed_order	Proposed_family	Proposed_genus	Proposed_subGenus	Proposed_species	Proposed_scientificName	Proposed_acceptedScientificName	Proposed_kingdomKey	Proposed_phylumKey	Proposed_classKey	Proposed_orderKey	Proposed_familyKey	Proposed_genusKey	Proposed_subGenusKey	Proposed_speciesKey	Proposed_taxonKey	Proposed_acceptedTaxonKey
1059	null	Arthropoda	Insecta	Lepidoptera	Nymphalidae	null	null	null	null	null	Euphydryas aurinia debilis Oberthür, 1909	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euphydryas	null	Euphydryas aurinia	Euphydryas aurinia (Rottemburg, 1775)	Euphydryas aurinia (Rottemburg, 1775)	1	54	216	797	7017	1895130	null	4535809	4535809	4535809	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euphydryas	null	Eurodryas orientalis	Euphydryas aurinia debilis	Eurodryas orientalis Herrich-Schäffer, 1845-1847	1	54	216	797	7017	1895130	null	1907952	10618758	1907952
1497	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Achurum	carinatum	null	null	null	null	null	null	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Achurum	null	Achurum carinatum	Achurum carinatum (Walker & F., 1870)	Achurum carinatum (Walker & F., 1870)	1	54	216	1458	9394	1703663	null	1703669	1703669	1703669	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Achurum	null	Achurum carinatum	Achurum carinatum (F.Walker, 1870)	Achurum carinatum (F.Walker, 1870)	1	54	216	1458	9394	1703663	null	1703669	1703669	1703669
1745	null	null	null	null	null	null	null	null	null	null	Platycnemis acutipennis Selys, 1841	null	null	Animalia	Arthropoda	Insecta	Odonata	Platycnemididae	Platycnemis	null	Platycnemis acutipennis	Platycnemis acutipennis Selys, 1841	Platycnemis acutipennis Selys, 1841	1	54	216	789	9402	8235578	null	1423891	1423891	1423891	Animalia	Arthropoda	Insecta	Odonata	Platycnemididae	Platycnemis	null	Platycnemis acutipennis	Platycnemis acutipennis Selys-Longchamps, 1841	Platycnemis acutipennis Selys-Longchamps, 1841	1	54	216	789	9402	8235578	null	1423891	1423891	1423891
2515	null	null	null	null	null	null	null	null	null	null	Rosalia alpina (Linnaeus, 1758)	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rosalia	null	Rosalia alpina	Rosalia alpina (Linné, 1758)	Rosalia alpina (Linné, 1758)	1	54	216	1470	5602	1159831	null	7569075	7569075	7569075	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rosalia	null	Rosalia alpina	Rosalia alpina (Linnaeus, 1758)	Rosalia alpina (Linnaeus, 1758)	1	54	216	1470	5602	1159831	null	7569075	7569075	7569075
1981	null	null	null	null	null	Paradrina	null	null	null	null	Paradrina clavipalpis (Scopoli, 1763)	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Paradrina	null	Paradrina clavipalpis	Paradrina clavipalpis Scopoli, 1763	Paradrina clavipalpis Scopoli, 1763	1	54	216	797	7015	1759232	null	1759295	1759295	1759295	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Paradrina	null	Paradrina clavipalpis	Paradrina clavipalpis Scopoli, 1763	Paradrina clavipalpis Scopoli, 1763	1	54	216	797	7015	10416610	null	1759295	1759295	1759295
1386	null	Arthropoda	Insecta	Diptera	Bibionidae	Bibio	null	null	null	null	Bibio xanthopus (BOLD:AAG6649)	null	null	Animalia	Arthropoda	Insecta	Diptera	Therevidae	Bibio	null	Bibio xanthopus	Bibio xanthopus Wiedemann, 1828	Bibio xanthopus Wiedemann, 1828	1	54	216	811	3517	1543369	null	1591023	1591023	1591023	Animalia	Arthropoda	Insecta	Diptera	Bibionidae	Bibio	null	Bibio xanthopus	Bibio xanthopus Wiedemann, 1828	Bibio xanthopus Wiedemann, 1828	1	54	216	811	7281	1543369	null	1591023	1591023	1591023
1280	Animalia	null	null	null	Pentatomidae	null	null	null	species	null	Peribalus strictus	null	null	Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Holcostethus	null	Holcostethus strictus	Peribalus strictus (Fabricius, 1803)	Holcostethus strictus (Fabricius, 1803)	1	54	216	809	9650	2079189	null	6096794	4485782	6096794	Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Holcostethus	null	Holcostethus strictus	Peribalus strictus (Fabricius, 1803)	Holcostethus strictus (Fabricius, 1803)	1	54	216	809	9650	10176964	null	6096794	4485782	6096794
1289	null	null	null	null	Muscidae	Helina	null	null	species	null	Helina sp. BOLD-2016	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	null	Helina	null	null	Helina Guénée, 1849	Helina Guénée, 1849	1	54	216	797	null	3255895	null	null	3255895	3255895	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Helina	null	null	Helina Robineau-Desvoidy, 1830	Helina Robineau-Desvoidy, 1830	1	54	216	811	5564	1526192	null	null	1526192	1526192
4529	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Helophorus	null	null	species	null	Helophorus (Helophorus) flavipes	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Helophoridae	Helophorus	null	Helophorus flavipes	Helophorus flavipes Fabricius, 1792	Helophorus flavipes Fabricius, 1792	1	54	216	1470	6985	3263442	null	5745065	5745065	5745065	Animalia	Arthropoda	Insecta	Coleoptera	Helophoridae	Helophorus	null	Helophorus flavipes	Helophorus flavipes (Fabricius, 1792)	Helophorus flavipes (Fabricius, 1792)	1	54	216	1470	6985	3263442	null	5745065	5745065	5745065
1013	Animalia	Arthropoda	Insecta	Plecoptera	Leuctridae	null	null	null	Genus	null	Leuctra	null	null	Animalia	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	null	null	Leuctra Stephens, 1836	Leuctra Stephens, 1836	1	54	216	787	2998	2001760	null	null	2001760	2001760	Animalia	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	null	null	Leuctra Stephens, 1836	Leuctra Stephens, 1836	1	54	216	787	2998	10214186	null	null	10214186	10214186
