Count	Verbatim_kingdom	Verbatim_phylum	Verbatim_class	Verbatim_order	Verbatim_family	Verbatim_genus	Verbatim_species	Verbatim_infra	Verbatim_rank	Verbatim_verbatimRank	Verbatim_scientificName	Verbatim_generic	Verbatim_author	Current_kingdom	Current_phylum	Current_klass	Current_order	Current_family	Current_genus	Current_subGenus	Current_species	Current_scientificName	Current_acceptedScientificName	Current_kingdomKey	Current_phylumKey	Current_classKey	Current_orderKey	Current_familyKey	Current_genusKey	Current_subGenusKey	Current_speciesKey	Current_taxonKey	Current_acceptedTaxonKey	Proposed_kingdom	Proposed_phylum	Proposed_klass	Proposed_order	Proposed_family	Proposed_genus	Proposed_subGenus	Proposed_species	Proposed_scientificName	Proposed_acceptedScientificName	Proposed_kingdomKey	Proposed_phylumKey	Proposed_classKey	Proposed_orderKey	Proposed_familyKey	Proposed_genusKey	Proposed_subGenusKey	Proposed_speciesKey	Proposed_taxonKey	Proposed_acceptedTaxonKey
1531	Animalia	null	Insecta	null	null	null	null	null	species	null	Chloroclystis v-ata	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chloroclystis	null	null	Chloroclystis Hübner, 1825	Chloroclystis Hübner, 1825	1	54	216	797	6950	1989161	null	null	1989161	1989161	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Chloroclystis	null	Chloroclystis v-ata	Chloroclystis v-ata (Haworth, 1809)	Chloroclystis v-ata (Haworth, 1809)	1	54	216	797	6950	1989161	null	1989428	1989428	1989428
1502	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara	aenea	null	species	null	Amara aenea (De Geer, 1774)	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara	null	Amara aenea	Amara aenea (Degeer, 1774)	Amara aenea (Degeer, 1774)	1	54	216	1470	3792	1035151	null	1035185	1035185	1035185	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara	null	Amara aenea	Amara aenea (DeGeer, 1774)	Amara aenea (DeGeer, 1774)	1	54	216	1470	3792	1035151	null	1035185	1035185	1035185
3557	Animalia	null	null	null	Gomphidae	null	null	null	species	null	Gomphus pulchellus	null	null	Animalia	Arthropoda	Insecta	Odonata	Gomphidae	Gomphus	null	Gomphus pulchellus	Gomphus pulchellus Selys, 1840	Gomphus pulchellus Selys, 1840	1	54	216	789	4486	1426461	null	5051947	5051947	5051947	Animalia	Arthropoda	Insecta	Odonata	Gomphidae	Gomphus	null	Gomphus pulchellus	Gomphus pulchellus Selys-Longchamps, 1840	Gomphus pulchellus Selys-Longchamps, 1840	1	54	216	789	4486	1426461	null	5051947	5051947	5051947
4116	null	null	null	null	null	null	null	null	species	null	Polypedilum sordens (Van der Wulp, 1874)	null	null	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	null	Polypedilum sordens	Polypedilum sordens der Wulp, 1874	Polypedilum sordens der Wulp, 1874	1	54	216	811	3343	1455710	null	1455736	9815254	9815254	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	null	Polypedilum sordens	Polypedilum sordens (Wulp, 1874)	Polypedilum sordens (Wulp, 1874)	1	54	216	811	3343	1455710	null	1455736	1455736	1455736
2431	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Diaethria	anna	anna	subspecies	null	Diaethria anna subsp. anna	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Diaethria	null	Diaethria anna	Diaethria anna Guérin-Méneville, 1844	Diaethria anna Guérin-Méneville, 1844	1	54	216	797	7017	1908980	null	1909064	1909064	1909064	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Diaethria	null	Diaethria anna	Diaethria anna Guérin-Meneville, 1844	Diaethria anna Guérin-Meneville, 1844	1	54	216	797	7017	1908980	null	1909064	1909064	1909064
1006	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Cercyon	null	null	species	null	Cercyon (Cercyon) marinus	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Cercyon	null	Cercyon marinus	Cercyon marinus Thomson, 1853	Cercyon marinus Thomson, 1853	1	54	216	1470	7830	1034418	null	1034428	1034428	1034428	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Cercyon	null	Cercyon marinus	Cercyon marinus Thomson & C.G., 1853	Cercyon marinus Thomson & C.G., 1853	1	54	216	1470	7830	1034418	null	1034428	1034428	1034428
2985	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tachinus	null	null	species	null	Tachinus rufipes	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tachinus	null	Tachinus rufipes	Tachinus rufipes Linnaeus, 1758	Tachinus rufipes Linnaeus, 1758	1	54	216	1470	7854	9174844	null	7204257	7204257	7204257	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tachinus	null	Tachinus rufipes	Tachinus rufipes (Linnaeus, 1758)	Tachinus rufipes (Linnaeus, 1758)	1	54	216	1470	7854	9174844	null	7204257	7204257	7204257
1218	Animalia	null	null	null	null	null	null	null	species	null	Coccinella septempunctata	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccinella	null	Coccinella septempunctata	Coccinella septempunctata Linnaeus, 1758	Coccinella septempunctata Linnaeus, 1758	1	54	216	1470	7782	1043502	null	4990191	4990191	4990191	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Coccinella	null	Coccinella septempunctata	Coccinella septempunctata Linnaeus, 1758	Coccinella septempunctata Linnaeus, 1758	1	54	216	1470	7830	1043502	null	4990191	4990191	4990191
2092	null	null	null	null	null	Chalcites	basalis	null	null	null	Chalcites basalis	null	null	Animalia	Arthropoda	Insecta	Hymenoptera	null	Chalcites	null	Chalcites basalis	Chalcites basalis (Horsfield)	Chalcites basalis (Horsfield)	1	54	216	1457	null	3259282	null	5817171	5817171	5817171	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Chrysococcyx	null	Chrysococcyx basalis	Chalcites basalis (Horsfield)	Chrysococcyx basalis (Horsfield, 1821)	1	44	212	1492	9309	2496313	null	2496314	5817171	2496314
1513	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Jalmenus	null	null	species	null	Jalmenus evagoras	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Jalmenus	null	Jalmenus evagoras	Jalmenus evagoras (Donovan, 1805)	Jalmenus evagoras (Donovan, 1805)	1	54	216	797	5473	1925782	null	5138732	5138732	5138732	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Jalmenus	null	Jalmenus evagoras	Jalmenus evagoras Hübner, 1818	Jalmenus evagoras Hübner, 1818	1	54	216	797	5473	1925782	null	10559854	10559854	10559854
1408	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Plagionotus	arcuatus	null	Species	null	Plagionotus arcuatus	null	(Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Plagionotus	null	Plagionotus arcuatus	Plagionotus arcuatus (Linné, 1758)	Plagionotus arcuatus (Linné, 1758)	1	54	216	1470	5602	9626780	null	7659055	7659055	7659055	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Plagionotus	null	Plagionotus arcuatus	Plagionotus arcuatus (Linnaeus, 1758)	Plagionotus arcuatus (Linnaeus, 1758)	1	54	216	1470	5602	9626780	null	7659055	7659055	7659055
1151	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aphaenogaster	rudis	null	null	null	Aphaenogaster rudis	null	Enzmann, J., 1947	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aphaenogaster	null	Aphaenogaster ruida	Aphaenogaster ruida Wheeler, 1928	Aphaenogaster ruida Wheeler, 1928	1	54	216	1457	4342	1315863	null	1316025	1316025	1316025	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aphaenogaster	null	Aphaenogaster rudis	Aphaenogaster rudis	Aphaenogaster rudis	1	54	216	1457	4342	1315863	null	9992530	9992530	9992530
1584	Animalia	Arthropoda	Insecta	Dermaptera	Anisolabididae	Euborellia	annulipes	null	species	null	Euborellia annulipes (Lucas, 1847)	null	null	Animalia	Arthropoda	Insecta	Dermaptera	Anisolabididae	Euborellia	null	Euborellia annulipes	Euborellia annulipes (Lucas & HF, 1847)	Euborellia annulipes (Lucas & HF, 1847)	1	54	216	1224	2796	1419888	null	1419894	1419894	1419894	Animalia	Arthropoda	Insecta	Dermaptera	Anisolabididae	Euborellia	null	Euborellia annulipes	Euborellia annulipes (H.F.Lucas, 1847)	Euborellia annulipes (H.F.Lucas, 1847)	1	54	216	1224	2796	1419888	null	1419894	1419894	1419894
3561	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Anisotoma	humeralis	null	Species	null	Anisotoma humeralis	null	(Fabricius, 1792)	Animalia	Arthropoda	Insecta	Coleoptera	Leiodesidae	Anisotoma	null	Anisotoma humeralis	Anisotoma humeralis (Fabricius, 1792)	Anisotoma humeralis (Fabricius, 1792)	1	54	216	1470	9544026	7632152	null	7412769	7412769	7412769	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Anisotoma	null	null	Anisotoma Panzer, 1796	Anisotoma Panzer, 1796	1	54	216	1470	4738	7632152	null	null	7632152	7632152
2232	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Stenodema	null	null	species	null	Stenodema (Brachystira) calcarata	null	null	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Stenodema	null	Stenodema calcarata	Stenodema calcarata (Fallén, 1807)	Stenodema calcarata (Fallén, 1807)	1	54	216	809	4319	2009118	null	6096767	6096767	6096767	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Stenodema	null	Stenodema calcarata	Stenodema calcarata (Fallen, 1807)	Stenodema calcarata (Fallen, 1807)	1	54	216	809	4319	2009118	null	6096767	6096767	6096767
1794	Animalia	null	null	null	null	null	null	null	null	null	Campsomeris plumipes	null	null	Animalia	Arthropoda	Insecta	Hymenoptera	Scoliidae	Campsomeris	null	null	Campsomeris Guérin-Méneville, 1838	Campsomeris Guérin-Méneville, 1838	1	54	216	1457	4351	4681428	null	null	4681428	4681428	Animalia	Arthropoda	Insecta	Hymenoptera	Scoliidae	Campsomeris	null	Campsomeris plumipes	Campsomeris plumipes	Campsomeris plumipes	1	54	216	1457	4351	4681428	null	10299981	10299981	10299981
4585	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Canthon	aequinoctialis	null	Especie	null	Canthon aequinoctialis	null	Harold	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Canthon	null	Canthon aequinoctialis	Canthon aequinoctialis Harold, 1868	Canthon aequinoctialis Harold, 1868	1	54	216	1470	5840	1092474	null	1092684	1092684	1092684	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Canthon	null	null	Canthon Hoffmannsegg, 1817	Canthon Hoffmannsegg, 1817	1	54	216	1470	5840	1092474	null	null	1092474	1092474
1071	null	Arthropoda	Insecta	Lepidoptera	Erebidae	Parasemia	plantaginis	plantaginis	null	null	Parasemia plantaginis plantaginis (Linnaeus, 1758)	null	(Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Parasemia	null	Parasemia plantaginis	Parasemia plantaginis plantaginis	Parasemia plantaginis plantaginis	1	54	216	797	4532185	1808720	null	1808752	7212024	7212024	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Parasemia	null	Parasemia plantaginis	Parasemia plantaginis plantaginis	Parasemia plantaginis (Linnaeus, 1758)	1	54	216	797	4532185	1808720	null	1808752	7212024	1808752
2542	Animalia	Arthropoda	Insecta	Diptera	Psychodidae	Nyssomyia	neivai	null	Espécie	null	Nyssomyia neivai (Pinto, 1926)	null	(Pinto, 1926)	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Nyssomyia	null	null	Nyssomyia Barretto, 1962	Nyssomyia Barretto, 1962	1	54	216	811	7275	1660961	null	null	1660961	1660961	Animalia	Arthropoda	Insecta	Diptera	Asilidae	Nyssomyia	null	Nyssomyia neivai	Nyssomyia neivai	Nyssomyia neivai	1	54	216	811	7275	1660961	null	10285797	10285797	10285797
1108	Animalia	Arthropoda	Insecta	Diptera	Opomyzidae	Opomyza	null	null	species	null	Opomyza florum	null	null	Animalia	Arthropoda	Insecta	Diptera	Heleomyzidae	Opomyza	null	Opomyza florum	Opomyza florum (Fabricius, 1794)	Opomyza florum (Fabricius, 1794)	1	54	216	811	5551	1443548	null	1493794	1493794	1493794	Animalia	Arthropoda	Insecta	Diptera	Opomyzidae	Opomyza	null	Opomyza florum	Opomyza florum (Fabricius, 1794)	Opomyza florum (Fabricius, 1794)	1	54	216	811	5576	1443548	null	1493794	1493794	1493794
1272	Animalia	Arthropoda	Insecta	Plecoptera	Perlodidae	Diura	nanseni	null	null	null	Diura nanseni	null	(Kempny, 1900)	Animalia	Arthropoda	Insecta	Plecoptera	Perlodidae	Diura	null	Diura nanseni	Diura nanseni (Kempny, 1900)	Diura nanseni (Kempny, 1900)	1	54	216	787	2996	5986713	null	5986715	5986715	5986715	Animalia	Arthropoda	Insecta	Plecoptera	Perlodidae	Diura	null	Diura nanseni	Diura nanseni (Kempny, 1900)	Diura nanseni (Kempny, 1900)	1	54	216	787	2996	8899219	null	5986715	5986715	5986715
8823	Animalia	null	null	null	Coccinellidae	null	null	null	species	null	Coccinella septempunctata	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccinella	null	Coccinella septempunctata	Coccinella septempunctata Linnaeus, 1758	Coccinella septempunctata Linnaeus, 1758	1	54	216	1470	7782	1043502	null	4990191	4990191	4990191	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Coccinella	null	Coccinella septempunctata	Coccinella septempunctata Linnaeus, 1758	Coccinella septempunctata Linnaeus, 1758	1	54	216	1470	7830	1043502	null	4990191	4990191	4990191
3238	Animalia	Arthropoda	Insecta	Diptera	Tipulidae	Tipula	null	null	species	null	Tipula lateralis	null	null	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Tipula	null	Tipula lateralis	Tipula lateralis Meigen, 1804	Tipula lateralis Meigen, 1804	1	54	216	811	3346	1446543	null	1506780	1506780	1506780	Animalia	Arthropoda	Insecta	Diptera	Tipulidae	Tipula	null	Tipula lateralis	Tipula lateralis Meigen, 1804	Tipula lateralis Meigen, 1804	1	54	216	811	7634	1446543	null	1506780	1506780	1506780
1443	Animalia	Mandibulata	Insecta	Coleoptera	Silphidae	Nicrophorus	americanus	null	Species	null	Nicrophorus americanus (Olivier, 1790)	null	(Olivier, 1790)	Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus	null	Nicrophorus americanus	Nicrophorus americanus Olivier, 1790	Nicrophorus americanus Olivier, 1790	1	54	216	1470	4762	1038957	null	1038971	1038971	1038971	Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus	null	Nicrophorus americanus	Nicrophorus americanus Olivier & A.G., 1790	Nicrophorus americanus Olivier & A.G., 1790	1	54	216	1470	4762	1038957	null	1038971	1038971	1038971
1271	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Strongylium	sp	null	Especie	null	Strongylium sp	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Strongylium	null	null	Strongylium Kirby, 1819	Strongylium Kirby, 1819	1	54	216	1470	7857	3262018	null	null	3262018	3262018	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Strongylium	null	null	Strongylium Kirby, 1819	Strongylium Kirby, 1819	1	54	216	1470	7857	10493199	null	null	10493199	10493199
3067	null	Arthropoda	Insecta	Odonata	Lestidae	null	null	null	null	null	Sympecma fusca (Vander Linden, 1820)	null	null	Animalia	Arthropoda	Insecta	Odonata	Lestidae	Sympecma	null	Sympecma fusca	Sympecma fusca Vander Linden, 1820	Sympecma fusca Vander Linden, 1820	1	54	216	789	4489	8332777	null	1424207	1424207	1424207	Animalia	Arthropoda	Insecta	Odonata	Lestidae	Sympecma	null	Sympecma fusca	Sympecma fusca Vander Linden, 1820	Sympecma fusca Vander Linden, 1820	1	54	216	789	4489	7977178	null	1424207	1424207	1424207
1084	null	null	null	null	null	null	null	null	species	null	Helophorus minutus Fabricius, 1775	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Helophoridae	Helophorus	null	Helophorus minutus	Helophorus minutus Fabricius, 1775	Helophorus minutus Fabricius, 1775	1	54	216	1470	6985	3263442	null	5745130	5745130	5745130	Animalia	Arthropoda	Insecta	Coleoptera	Helophoridae	Helophorus	null	Helophorus minutus	Helophorus minutus (Fabricius, 1775)	Helophorus minutus (Fabricius, 1775)	1	54	216	1470	6985	3263442	null	5745130	5745130	5745130
5764	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Helophorus	null	null	species	null	Helophorus (Helophorus) minutus	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Helophoridae	Helophorus	null	Helophorus minutus	Helophorus minutus Fabricius, 1775	Helophorus minutus Fabricius, 1775	1	54	216	1470	6985	3263442	null	5745130	5745130	5745130	Animalia	Arthropoda	Insecta	Coleoptera	Helophoridae	Helophorus	null	Helophorus minutus	Helophorus minutus (Fabricius, 1775)	Helophorus minutus (Fabricius, 1775)	1	54	216	1470	6985	3263442	null	5745130	5745130	5745130
1994	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Lathrobium	null	null	species	null	Lathrobium (Lathrobium) brunnipes	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Lathrobium	null	Lathrobium brunnipes	Lathrobium brunnipes (Fabricius, 1793)	Lathrobium brunnipes (Fabricius, 1793)	1	54	216	1470	7854	4290502	null	4438852	4438852	4438852	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Lathrobium	null	Lathrobium brunnipes	Lathrobium brunnipes (Fabricius, 1792)	Lathrobium brunnipes (Fabricius, 1792)	1	54	216	1470	7854	4290502	null	4438852	4438852	4438852
1396	null	null	null	null	null	null	null	null	null	null	Trypodendron domesticum (Linnaeus, 1758)	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Trypodendron	null	Trypodendron domesticum	Trypodendron domesticum (Linnaeus & C., 1758)	Trypodendron domesticum (Linnaeus & C., 1758)	1	54	216	1470	4239	1244631	null	1244634	1244634	1244634	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Trypodendron	null	Trypodendron domesticum	Trypodendron domesticum (C.Linnaeus, 1758)	Trypodendron domesticum (C.Linnaeus, 1758)	1	54	216	1470	4239	1244631	null	1244634	1244634	1244634
1270	Metazoa	Arthropoda	Insecta	Coleoptera	Curculionidae	Pityogenes	chalcographus	null	Species	null	Pityogenes chalcographus Linnaeus, 1761	null	null	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pityogenes	null	Pityogenes chalcographus	Pityogenes chalcographus (Linnaeus & C., 1760)	Pityogenes chalcographus (Linnaeus & C., 1760)	1	54	216	1470	4239	1237412	null	1237428	1237428	1237428	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pityogenes	null	Pityogenes chalcographus	Pityogenes chalcographus (C.Linnaeus, 1760)	Pityogenes chalcographus (C.Linnaeus, 1760)	1	54	216	1470	4239	1237412	null	1237428	1237428	1237428
8776	Animalia	null	Insecta	Lepidoptera	null	null	null	null	species	null	Agriades optilete	null	null	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Plebejus	null	Plebejus optilete	Agriades optilete (Knoch, 1781), 2012	Plebejus optilete (Knoch, 1781)	1	54	216	797	5473	1923058	null	5714713	8020665	5714713	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Plebejus	null	Plebejus optilete	Agriades optilete (Knoch, 1781)	Plebejus optilete (Knoch, 1781)	1	54	216	797	5473	1923058	null	5714713	8020665	5714713
1828	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Nylanderia	faisonensis	null	null	null	Nylanderia faisonensis	null	(Forel, 1922)	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Nylanderia	null	null	Nylanderia Emery, 1906	Nylanderia Emery, 1906	1	54	216	1457	4342	4673740	null	null	4673740	4673740	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Nylanderia	null	Nylanderia faisonensis	Nylanderia faisonensis	Nylanderia faisonensis	1	54	216	1457	4342	4673740	null	10582800	10582800	10582800
1421	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Corticarina	minuta	null	Species	null	Corticarina minuta	null	(Fabricius, 1792)	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Hylesinus	null	Hylesinus varius	Corticarina minuta (Fabricius, 1792)	Hylesinus varius (Fabricius & J.C., 1775)	1	54	216	1470	4239	1239036	null	1239137	4450799	1239137	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Hylesinus	null	Hylesinus varius	Corticarina minuta (Fabricius, 1792)	Hylesinus varius Fabricius & J.C., 1801	1	54	216	1470	4239	1239036	null	1239137	4450799	1239137
